model,n_rows,strategy,n_cores,median_wall_time_sec,median_energy_joules,mean_wall_time_sec,mean_energy_joules,std_wall_time_sec,std_energy_joules,repeats,median_wall_time_min,energy_per_second
RandomForest,48842,multiprocessing,2,3767.3677611999447,82802.06573000032,3740.458955699966,82192.50111600039,70.53921269667006,1555.2359335731405,3,62.78946268666574,21.97875837415645
RandomForest,48842,ray,2,5360.109675000014,94840.10889099842,6484.781272300005,101839.91857299911,2208.4503955307273,21809.112820156282,3,89.33516125000024,17.693688122342042
RandomForest,48842,threading,1,5893.8067615,134939.381996,6061.2273624,139132.02333666696,290.175523485833,7372.132637631846,3,98.23011269166666,22.89511472915297
RandomForest,48842,serial,2,5902.675666099996,132814.54195499927,5911.430780500018,132874.55909700002,16.766156955943348,249.27842046959475,3,98.37792776833327,22.50073516960694
RandomForest,48842,serial,4,5920.98506690003,133175.77456800328,5946.641306066653,132755.18668500052,47.287237114901714,780.0187527879025,3,98.68308444833383,22.492165250085375
RandomForest,48842,threading,8,6060.132470900004,133149.64125899808,8845.240534966666,159663.86732200088,4831.576311024932,46096.28415457414,3,101.0022078483334,21.971407704099864
RandomForest,48842,threading,4,6073.264005099998,133412.0832509972,7277.795512733331,144946.8819719992,2094.3531566117094,20079.87389063881,3,101.22106675166664,21.967114082141823
RandomForest,48842,multiprocessing,1,6091.659474199987,133769.08119400137,9042.436279233312,160972.84142766628,5165.884005023865,48338.67608748348,3,101.52765790333312,21.959382621525993
RandomForest,48842,serial,1,6513.709530599997,139648.7066279989,9767.650984266656,166400.67969533292,6172.310133768988,52655.562191129815,3,108.56182550999996,21.439197737012915
RandomForest,48842,ray,4,7718.864948800008,97809.72691199988,12965.198876900016,157251.61060766585,13712.017575802041,138593.37818590176,3,128.6477491466668,12.671516804709169
RandomForest,48842,serial,8,7875.358532499988,150385.18531800213,9825.505846333303,168499.23380966662,5043.809878801094,47323.90770648694,3,131.25597554166646,19.095662082861796
RandomForest,48842,ray,1,10425.194769399995,159429.89341199966,11789.187906466666,175342.04806766575,3583.4236226090306,37205.39715804968,3,173.7532461566666,15.292749626122848
RandomForest,48842,joblib,1,10721.7499027,184403.9693809997,11408.50295296667,184975.32702966649,3515.5845787323747,29004.453108580852,3,178.69583171166667,17.199055289898364
RandomForest,48842,threading,2,11445.6234818,213248.0114210008,10858.031877233334,192354.47105766667,4649.297941467057,51686.78301906081,3,190.76039136333333,18.631401929313185
XGBoost,1000,serial,1,0.2163835000246763,7.703255997469627,0.20606620000520096,7.786878999689297,0.019665925363920356,0.6332352493187277,3,0.003606391667077938,35.60001569708943
XGBoost,1000,serial,2,0.2320661999983713,6.277835001382293,0.21087673333628723,6.193169667421155,0.039074489492150484,0.3443146267140216,3,0.003867769999972855,27.051914502958002
XGBoost,1000,serial,4,0.2445455999695696,7.063953003426382,0.28349006664939225,7.67731766727342,0.0679021957150261,1.9568379043280486,3,0.004075759999492826,28.88603599617166
XGBoost,1000,joblib,1,0.2518774999771267,7.976768000428347,0.23947299999417734,7.700621666566032,0.07066616438598013,1.049711532410981,3,0.004197958332952112,31.669236041935967
XGBoost,1000,threading,1,0.2637919999542646,7.428476001525297,0.2532758333254605,7.142572667470102,0.08015760077409124,0.8172250510774532,3,0.004396533332571077,28.160353622601225
XGBoost,1000,serial,8,0.2647098999586887,7.025408999163096,0.27372163330437616,7.5918033342045605,0.02661525492045038,1.4166800829752804,3,0.004411831665978145,26.540031182284828
XGBoost,1000,threading,2,0.316547000024002,10.191800000922123,0.3095212333331195,10.03790000013433,0.04709911566377224,0.8496201497526423,3,0.0052757833337333665,32.19679858014556
XGBoost,1000,joblib,4,0.3226828999468125,9.00166099786076,1.4728339333087204,40.41567566665794,2.0196976881601696,54.65240008108656,3,0.005378048332446875,27.89630624785043
