strategy,model,feature_count,n_cores,n_rows,background_size,repeat_idx,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,runs,mean_elapsed_minutes,mean_energy_kwh,energy_delay_product
joblib,LogisticRegression,30,1,100,100,1,9.228356599982362,0.0,200.0719990019717,0.0,1,0.15380594333303937,5.557555527832547e-05,1846.33575246151
joblib,LogisticRegression,30,4,100,100,2,9.20353509997949,0.0,200.643685999613,0.0,1,0.15339225166632484,5.573435722211473e-05,1846.6312066867017
multiprocessing,LogisticRegression,30,4,100,100,1,9.093158399977256,0.0,203.35174600045747,0.0,1,0.15155263999962093,5.6486596111238185e-05,1849.109637294101
joblib,LogisticRegression,30,4,100,100,1,9.155098400020506,0.0,202.4784090017384,0.0,1,0.1525849733336751,5.624400250048289e-05,1853.709758290513
serial,LogisticRegression,30,1,100,100,1,9.243339699984062,0.0,205.4190960019464,0.0,1,0.15405566166640103,5.706086000054067e-05,1898.7584852096286
threading,LogisticRegression,30,1,100,100,1,9.243417699995916,0.0,205.55434100134607,0.0,1,0.1540569616665986,5.709842805592946e-05,1900.0246339228386
ray,LogisticRegression,15,2,100,25,2,9.137242699973283,0.0,208.20084300289253,0.0,1,0.15228737833288805,5.783356750080348e-05,1902.3816328564635
threading,LogisticRegression,30,1,100,100,2,9.408789900015108,0.0,202.97528700228276,0.0,1,0.1568131650002518,5.6382024167300766e-05,1909.751830299746
multiprocessing,LogisticRegression,15,4,100,50,0,7.112762400007341,0.0,270.04188900097563,0.0,1,0.11854604000012235,7.501163583360435e-05,1920.7437945130955
serial,LogisticRegression,30,1,100,100,2,9.313806299993304,0.0,206.3194749981068,0.0,1,0.1552301049998884,5.731096527725189e-05,1921.6196260486784
joblib,LogisticRegression,15,8,100,50,2,9.164808299974538,0.0,212.3250499984075,0.0,1,0.15274680499957563,5.89791805551132e-05,1945.9183805179139
multiprocessing,LogisticRegression,30,2,100,100,2,9.412937999994028,0.0,207.8417869989635,0.0,1,0.15688229999990047,5.7733829721934304e-05,1956.4018548292083
multiprocessing,LogisticRegression,30,4,100,100,2,9.437447500007693,0.0,207.70235900221533,0.0,1,0.15729079166679488,5.7695099722837595e-05,1960.1801087111573
multiprocessing,LogisticRegression,30,2,100,100,1,9.435063499957325,0.0,208.73825999819795,0.0,1,0.15725105833262207,5.798284999949943e-05,1969.4587379535997
threading,LogisticRegression,15,4,100,25,2,9.162639299989678,0.0,217.66255900018683,0.0,1,0.15271065499982797,6.046182194449634e-05,1994.363517231434
joblib,LogisticRegression,30,2,100,50,0,9.065413500007708,0.0,221.0834439987222,0.0,1,0.15109022500012845,6.141206777742284e-05,2004.2128378542143
multiprocessing,LogisticRegression,15,8,100,50,1,9.296716400014702,0.0,218.91109800252215,0.0,1,0.15494527333357838,6.080863833403393e-05,2035.1543949452735
ray,LogisticRegression,15,4,100,25,0,8.090519099961966,0.0,253.64945199750213,0.0,1,0.13484198499936612,7.045818111041725e-05,2052.155736080677
multiprocessing,LogisticRegression,15,1,100,50,0,10.165453599998727,0.0,202.71337999952232,0.0,1,0.16942422666664544,5.6309272222089535e-05,2060.673458484054
joblib,LogisticRegression,15,8,100,50,1,9.577120600035414,0.0,216.42538299954103,0.0,1,0.1596186766672569,6.0118161944316954e-05,2072.731993895459
multiprocessing,LogisticRegression,15,8,100,50,2,9.485692799964454,0.0,218.678219997992,0.0,1,0.15809487999940758,6.074394999944222e-05,2074.3144169439956
joblib,LogisticRegression,30,8,100,50,0,7.44039399997564,0.0,280.75292100081947,0.0,1,0.12400656666626067,7.798692250022764e-05,2088.9123488901323
joblib,LogisticRegression,30,8,100,25,2,9.674227999988943,0.0,218.53971899992163,0.0,1,0.16123713333314907,6.070547749997823e-05,2114.2030686587577
