model,feature_count,n_rows,background_size,strategy,n_cores,median_elapsed_seconds,median_energy_joules,mean_elapsed_seconds,mean_energy_joules,std_elapsed_seconds,std_energy_joules,repeats,median_elapsed_minutes,energy_per_second,time_energy_product
LogisticRegression,30,100,25,joblib,1,9.43686010001693,142.30245600078825,11.744378799999444,172.18378066738288,7.813215256978702,74.34123051241866,3,0.15728100166694883,15.079428378993663,1342.8883691682533
LogisticRegression,30,100,25,multiprocessing,1,9.670882900012655,179.16603900072215,15.403823599995425,237.07079966625022,11.743815663582007,110.63221120429465,3,0.1611813816668776,18.526337342011214,1732.6937828350842
LogisticRegression,30,100,25,joblib,8,9.674227999988943,245.9761610010568,11.352601233326519,243.02810133320986,5.647217677664376,23.155533092954432,3,0.16123713333314907,25.42592142766719,2379.629464086212
LogisticRegression,30,100,25,ray,2,9.791542700026184,235.0452310031337,10.225357200019062,234.4379493348689,1.115324899359706,8.352242968658523,3,0.16319237833376973,24.00492324896925,2301.4554158047017
LogisticRegression,30,100,25,multiprocessing,8,10.272423300019,232.93802600165077,11.602673333332254,243.73684233414338,5.817490292281229,25.056989191988816,3,0.17120705500031666,22.676054052525263,2392.8380057597888
LogisticRegression,30,100,25,ray,4,10.462911600014197,263.31918600150385,9.923511733320387,259.9066323346846,1.0217477133624022,17.481259876015244,3,0.17438186000023662,25.166913003560747,2755.0853657214307
LogisticRegression,30,100,25,ray,8,12.451180100033524,313.83192499994107,11.713073766673915,319.60892400144036,2.083776102568831,15.150831730277382,3,0.20751966833389207,25.20499442451211,3907.5778193144793
LogisticRegression,30,100,25,ray,1,12.642863699991722,263.3673940016519,15.152944499995405,273.6970436679274,5.653021119927056,26.105506732728532,3,0.21071439499986203,20.831308495544754,3329.7180653849027
LogisticRegression,30,100,25,threading,4,12.751612799998838,301.1241249998769,22.354665599996224,365.84119733222565,17.881216984494415,160.7670496468425,3,0.21252687999998063,23.614591324471863,3839.818246736881
LogisticRegression,30,100,25,threading,8,13.557907500013243,349.49661899870006,23.037747166662786,390.7375443318442,17.492251293351238,142.55153632661322,3,0.22596512500022073,25.77806486718977,4738.4428319517465
LogisticRegression,30,100,25,threading,2,18.97984760004329,283.0571149985424,19.577645100012887,284.6073569988415,13.045371959619652,130.60491052679652,3,0.31633079333405484,14.913561002349502,5372.3809047802615
LogisticRegression,30,100,50,joblib,1,6.578970499977004,147.4005300015291,8.159826333304713,162.78161966650634,2.8747858491773264,31.640474434208972,3,0.10964950833295006,22.40480178502766,969.7437385610352
