strategy,model,feature_count,n_rows,background_size,n_cores,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,repeats,time_cv_percent,energy_cv_percent
ray,LogisticRegression,15,100,25,4,14.65926919997825,9.78022543899899,272.88698766513716,58.44849166022091,3,66.71700550402268,21.418570434711874
joblib,LogisticRegression,30,100,100,2,16.65070036664838,11.106210442138591,277.5895696665198,86.16508634843402,3,66.70116089761912,31.04046252600478
threading,LogisticRegression,30,100,25,2,19.577645100012887,13.045371959619652,284.6073569988415,130.60491052679652,3,66.63402004161912,45.88950612662066
ray,SVM-RBF,30,100,25,4,46.2743138000175,30.814920114726423,855.9782873338078,186.54944072541264,3,66.59184671629808,21.793711766506938
joblib,LogisticRegression,30,100,25,1,11.744378799999444,7.813215256978702,172.18378066738288,74.34123051241866,3,66.52727564423478,43.175512945686684
ray,LogisticRegression,15,100,100,1,19.82990999999068,13.191219776353956,351.529700665848,129.11011469290938,3,66.52183381750172,36.728081424800294
joblib,SVM-RBF,15,100,25,4,39.490379266634896,26.098999855148822,717.5439846659215,166.52991405301466,3,66.08951430658874,23.208321386813477
ray,LogisticRegression,15,100,100,2,17.262370666663628,11.404489325223526,313.39843266727786,116.74446226755377,3,66.06560330237492,37.2511314986366
joblib,LogisticRegression,15,100,25,4,9.013963233330287,5.946756470586933,172.55239933268925,33.79919849026441,3,65.97271717947592,19.587788185487902
multiprocessing,SVM-RBF,15,100,25,4,39.93894406670006,26.213560331280274,720.2233820002822,170.38138890840423,3,65.63408458546701,23.65674222283684
multiprocessing,LogisticRegression,15,100,25,4,9.208825066666273,6.030945007354627,177.50462266634682,32.394138132785116,3,65.49092814440785,18.249743384810866
multiprocessing,LogisticRegression,30,100,25,4,10.268378533345336,6.47557478362396,192.85319066813665,34.257058957557696,3,63.06326517468462,17.763283479456415
ray,SVM-RBF,15,100,25,8,39.09239200002048,24.021117012074427,788.8234486678639,105.42265413407493,3,61.44703811437745,13.364543651955179
joblib,LogisticRegression,30,100,25,4,10.118741933333999,6.1915800591628,189.1676653330086,36.933838365642295,3,61.18922786997841,19.5243929773222
multiprocessing,LogisticRegression,15,100,100,2,11.20215376666359,6.6232819332872435,204.4025826653917,69.23446163195023,3,59.125076045620986,33.87161782847307
multiprocessing,SVM-RBF,30,100,25,8,37.56711629999336,21.741841422536165,776.9670986670384,75.1127835722322,3,57.87466157614022,9.667434271167389
threading,LogisticRegression,15,100,50,2,9.674891199994212,5.582426365492597,190.03303666632328,68.82104970335403,3,57.70014618351404,36.21530809098004
multiprocessing,LogisticRegression,30,100,100,2,14.052309133325858,8.016472906372595,249.18173633264874,70.82794258956865,3,57.04737086491407,28.424211032471447
ray,LogisticRegression,15,100,25,8,16.798337333331194,9.303718040485636,344.2803830006371,45.17228459969746,3,55.38475538305351,13.120783765252716
joblib,SVM-RBF,15,100,25,8,31.752825666665256,17.311075287989915,649.8404879998568,58.05388717934837,3,54.51821979472972,8.933559581372402
ray,SVM-RBF,30,100,25,8,39.59321759996237,21.448004857302166,810.9894979998456,60.3584917510821,3,54.1709064264647,7.442573781774618
ray,LogisticRegression,30,100,100,4,19.0550111666477,10.128421566254715,329.82363700157504,69.64581814875356,3,53.15358504739509,21.11607851453684
multiprocessing,LogisticRegression,15,100,25,8,10.789547599987904,5.7282575752452445,232.4801826662795,26.138332056782403,3,53.090804059770456,11.243251685802157
joblib,LogisticRegression,15,100,25,8,10.53408636666912,5.565124982205242,224.74511199982518,24.41399646575502,3,52.82968819976494,10.862971055750485
joblib,LogisticRegression,30,100,100,4,13.174088833349137,6.919190597330917,227.09264900059313,44.2315450507371,3,52.52120799288637,19.47731256180889
multiprocessing,SVM-RBF,15,100,25,8,33.32176203335015,16.974712443371736,665.9205506665857,51.02404056151666,3,50.94182122296703,7.662181398432839
multiprocessing,LogisticRegression,30,100,25,8,11.602673333332254,5.817490292281229,243.73684233414338,25.056989191988816,3,50.139223307862125,10.28034537250537
joblib,LogisticRegression,30,100,25,8,11.352601233326519,5.647217677664376,243.02810133320986,23.155533092954432,3,49.74382136392223,9.527924123147573
threading,LogisticRegression,30,100,50,2,12.266184600011911,5.948247961632002,248.47645466612167,84.26311795310895,3,48.49305758553663,33.911912525608706
ray,SVM-RBF,15,100,50,4,60.24385966667129,25.512094836475974,1438.4770643343647,609.3560297174986,3,42.34804173841808,42.3611919039856
ray,LogisticRegression,30,100,100,8,21.189262700014904,8.73712003044065,391.45796200043543,61.52135001410461,3,41.233714236005504,15.715953176611128
joblib,SVM-RBF,30,100,50,1,135.73973103331323,52.95001934201932,3333.740607333942,1486.1471127306968,3,39.0084899527496,44.57896662569671
ray,LogisticRegression,30,100,25,1,15.152944499995405,5.653021119927056,273.6970436679274,26.105506732728532,3,37.30642001578485,9.53810329219411
joblib,LogisticRegression,15,100,100,4,9.713139433336133,3.5864821188318174,218.56426333272114,80.59149656899051,3,36.924025887271576,36.87313531503812
serial,LogisticRegression,15,100,50,1,6.3668142333432725,2.3456158240146583,131.63084233401707,23.67792391889185,3,36.84127945386832,17.98812762954782
multiprocessing,LogisticRegression,15,100,100,4,9.88548520001738,3.553818797094079,194.88191966647582,38.28316521322112,3,35.949867155613475,19.644287822461706
serial,LogisticRegression,30,100,50,1,8.370689766656142,3.0077049474278437,180.94959233325855,59.7870939806299,3,35.9313871529292,33.040745331174215
joblib,SVM-RBF,30,100,100,2,166.12663576668515,59.01989484648766,3524.5744969986863,698.0562944685679,3,35.527051140298504,19.805406157906162
joblib,LogisticRegression,30,100,50,1,8.159826333304713,2.8747858491773264,162.78161966650634,31.640474434208972,3,35.230968549462304,19.437375361561944
joblib,SVM-RBF,30,100,50,2,87.41754619998392,30.648470376692075,1945.9226479989502,585.1116722628841,3,35.059861216623474,30.068598711494094
joblib,SVM-RBF,30,100,100,1,254.41566463332856,85.55225397717851,5269.286041666691,855.3682248688087,3,33.62696007750897,16.233095301811577
threading,LogisticRegression,15,100,50,1,6.303695566641788,2.1075532081696697,126.9350856678064,20.979749594712878,3,33.43361343974994,16.527935900730885
multiprocessing,LogisticRegression,30,100,100,4,11.410161066664537,3.718989482112317,220.96596833414696,26.829318378419345,3,32.593663318018926,12.14183278116736
joblib,LogisticRegression,30,100,100,8,14.528211666678544,4.70085067013109,271.18473900134,24.530688517099488,3,32.35670554630489,9.045748152140035
joblib,SVM-RBF,15,100,100,2,136.90160699999737,43.28144958424062,2859.4432516667657,658.4696213370489,3,31.615004770719345,23.02789611065818
ray,LogisticRegression,15,100,100,4,13.840693200007081,4.367489004233946,300.05819033333546,78.69177231603733,3,31.555420968595065,26.225503869305626
